Role Category,Role,Functional Area,Industry,Skill1,Skill2,Skill3,Skill4,Skill5
67,405,35,4,2640,11274,11287,3072,9509
67,405,35,41,5654,4236,6785,10433,11274
67,405,35,41,3194,141,526,6722,868
67,405,35,58,5272,6386,10433,7880,5514
67,424,35,13,5827,8310,9804,7880,10402
67,424,35,13,1276,9452,10072,11589,7425
67,424,35,41,6384,7068,6386,3534,3088
67,424,35,41,7880,3795,4052,5235,868
67,364,35,43,11622,4881,2896,1370,5908
67,364,35,43,8834,11578,1829,868,8327
67,405,35,43,8310,9712,5425,7249,9882
67,424,35,41,6384,253,3795,7249,8445
67,424,35,41,6984,4838,4320,6722,9955
67,424,35,41,8517,11129,1122,3639,868
67,424,35,41,7425,10433,7880,4830,10591
67,405,35,43,10365,6386,1499,7690,4216
67,424,35,43,6386,10591,1499,2887,5908
67,424,35,43,9835,8222,868,9847,1623
67,424,35,2,11671,2139,845,10772,3598
67,424,35,2,5835,3387,6384,7934,6130
67,405,35,30,8242,1370,7690,2284,1276
67,405,35,30,9588,1941,2424,3376,2185
67,364,35,43,6386,10433,7880,3229,253
67,364,35,41,3489,11579,2194,230,3517
67,364,35,41,868,3287,2927,1180,8329
67,424,35,34,7425,10433,9954,6722,253
67,424,35,34,3795,9372,7249,868,8753
67,424,35,34,11261,4830,6984,20,9821
67,424,35,11,1276,5654,7642,7880,9882
67,424,35,1,2931,2938,6130,6210,10557
67,424,35,1,2652,4830,5217,4326,2397
67,424,35,43,2573,253,6247,8517,6597
67,424,35,43,7068,10557,7155,7880,8364
67,364,35,43,11622,1499,11310,1370,4578
67,364,35,43,7249,8145,1829,862,10752
67,424,35,34,6386,9882,7201,10433,5272
67,424,35,34,1623,8646,9712,868,11589
67,364,35,41,8242,6386,8834,7387,2582
67,364,35,30,4687,2848,1717,2640,6552
67,364,35,30,122,9921,11718,4515,238
67,405,35,40,6713,1758,5337,8485,9668
67,405,35,40,8736,2570,10147,3106,6509
67,424,35,43,4403,1499,11583,8877,2433
67,424,35,43,8602,9452,8297,868,9847
67,424,35,12,9395,9228,7880,7220,8493
67,434,35,41,126,10433,4838,5325,8834
67,434,35,41,6228,2443,7880,10172,4830
67,364,35,45,6386,10433,1499,9258,7880
67,364,35,45,10591,7508,7934,3795,868
67,405,35,41,1276,10151,10562,7068,11589
67,424,35,12,7068,6386,5560,7249,9057
67,202,35,10,6386,9882,6657,8517,6261
67,202,35,10,7880,2924,3795,7642,2115
67,424,35,21,7068,5560,7249,9188,7880
67,193,35,50,6386,7249,10846,1985,6384
67,424,35,43,5179,1477,7249,11591,689
67,364,35,1,11659,465,6590,103,10402
67,323,35,52,11191,9254,11452,7690,3894
67,364,35,43,1370,7201,3415,7880,921
67,424,35,58,2233,7325,7880,3795,6722
67,405,35,21,8753,10433,617,4838,3229
67,364,35,41,7425,6386,10433,7880,5514
67,424,35,20,7068,253,7201,8834,4830
67,424,35,21,11191,9254,11452,7690,3894
67,364,35,41,10433,268,5514,6762,5100
67,364,35,41,4070,3272,3534,9597,8370
67,434,35,43,689,6386,5654,9882,11449
67,434,35,43,10071,7618,7642,868,8494
67,424,35,17,6643,9882,9372,10433,7880
67,424,35,41,5654,9882,10433,7516,7249
67,405,35,21,2782,8834,8370,1175,6174
67,405,35,21,6643,141,868,4705,11337
67,424,35,10,6386,1499,465,4744,7193
67,424,35,10,7249,1623,7880,10208,7425
67,424,35,43,10433,5514,8517,4838,3229
67,424,35,1,1276,10852,10072,4975,10273
67,424,35,60,10691,253,8985,9500,3000
67,424,35,60,7122,8646,5827,9090,10752
67,364,35,42,6386,1499,3534,10433,6597
67,364,35,42,7880,6984,3795,6722,868
67,364,35,12,10365,7068,1370,8162,5560
67,405,35,43,11191,9254,11452,7690,3894
67,424,35,21,1596,10433,2571,7690,7880
67,424,35,21,6552,122,6643,1276,4515
67,424,35,43,7976,7425,11503,10433,11290
67,424,35,43,7910,11274,6715,8834,6864
67,424,35,43,10383,3527,868,9847,9332
67,405,35,43,8310,10433,8419,4449,2640
67,405,35,43,7508,8646,11106,868,7425
67,424,35,30,7425,7068,9954,1321,3795
67,424,35,30,3229,5025,7249,4830,4838
67,405,35,40,10071,5272,230,3517,5379
67,405,35,40,2115,8327,5514,2194,8537
67,323,35,16,2233,687,7880,10081,10708
67,424,35,6,3246,10433,5560,7249,4403
67,424,35,30,721,8798,10433,6590,7880
67,424,35,30,7425,3366,6756,8372,4618
67,424,35,30,8419,5801,5636,1623,10286
67,405,35,58,6386,2965,7642,7880,868
67,424,35,43,6386,7880,3229,253,4838
67,364,35,41,3534,2512,6762,1985,10846
67,434,35,33,1180,9882,10433,8200,1623
67,434,35,33,7880,7642,8646,868,8037
67,434,35,12,9882,10433,5297,7880,11145
67,364,35,41,11191,5180,15,8200,7880
67,405,35,12,6386,10433,1623,10846,8452
67,424,35,41,868,7763,8636,1963,10433
67,424,35,30,8983,5412,2619,5560,2752
67,424,35,30,5337,8250,692,6806,253
67,424,35,13,1892,4387,4553,7450,2744
67,424,35,13,2433,6464,10356,1128,10594
67,364,35,43,11191,9254,11452,7690,3894
67,364,35,54,6384,6386,4594,9372,3534
67,364,35,54,8372,11287,9509,8037,868
67,364,35,38,1090,6386,9509,9906,7880
67,424,35,30,5284,10433,10071,5514,8493
67,424,35,30,6691,2777,3995,2115,3570
67,424,35,43,6386,10433,4948,7249,7880
67,405,35,19,5721,1942,10072,7249,9821
67,193,35,1,2512,9316,1985,2767,1407
67,193,35,1,8834,5875,8090,1450,9332
67,424,35,43,9918,3072,1703,1613,2402
67,405,35,30,11659,6590,7160,253,1370
67,405,35,30,7788,5829,852,10923,3376
67,405,35,43,5827,1499,6590,9395,253
67,405,35,43,7249,6384,10072,5446,7425
67,405,35,17,2233,10433,8987,1508,2284
67,193,35,40,3106,2233,6386,10433,2512
67,193,35,40,8370,7880,10708,832,3795
67,193,35,40,10081,9509,1985,868,8090
67,364,35,12,20,3534,10591,11310,11449
67,364,35,12,6722,8370,8445,649,1544
67,424,35,43,10365,9719,5560,6647,8834
67,424,35,41,7934,3795,1499,10708,3180
67,424,35,1,4403,8076,11591,689,8791
67,405,35,52,7934,6386,7642,10433,6722
67,405,35,52,7880,5514,3795,11287,1673
67,405,35,52,7249,868,8753,9882,9372
67,202,35,30,5827,6261,6643,10365,7880
67,424,35,17,3795,4601,8834,7554,5820
67,193,35,43,6386,10708,1499,8506,7508
67,193,35,43,11591,9712,868,3718,8537
67,424,35,18,689,7068,7193,7249,3795
67,424,35,38,5337,11659,7447,1803,3149
67,424,35,38,9452,7814,6722,10752,8301
67,405,35,12,6174,11659,7880,11310,126
67,405,35,41,9882,3517,10402,4746,5325
67,405,35,41,2443,10172,1623,7880,8445
67,424,35,1,10365,10907,9509,4312,4711
67,424,35,1,4083,8363,9825,1143,2397
67,364,35,1,7781,5889,10433,8372,11659
67,364,35,43,3254,8962,6386,9596,8683
67,424,35,41,5652,6762,459,7880,4830
67,424,35,41,10691,10433,5560,11659,6485
67,424,35,41,1623,7880,8646,6722,765
67,405,35,10,6386,7880,3229,253,4838
67,424,35,30,2048,4261,10700,4070,452
67,405,35,40,10433,7880,10365,5514,6174
67,424,35,8,9882,7642,10685,10433,6722
67,424,35,8,6643,253,8370,7880,8445
67,424,35,13,10433,4838,8537,7068,249
67,424,35,43,7068,692,7691,10524,430
67,424,35,43,7305,8078,1112,7835,7425
67,424,35,1,7068,9372,7249,7880,3795
67,364,35,43,3534,2573,253,6247,8517
67,424,35,53,7323,4505,8506,11591,1013
67,424,35,48,10433,7880,3814,9224,6828
67,424,35,30,6590,2571,5560,2760,6864
67,424,35,30,1561,5654,8559,7814,8222
67,424,35,13,5025,5052,291,7068,8235
67,424,35,10,6386,7880,3229,253,4838
67,424,35,30,9325,8419,10588,2571,11274
67,424,35,30,7496,7312,9332,6130,4556
67,364,35,41,9640,10286,5100,7493,6762
67,424,35,41,5337,6386,9509,8396,1180
67,424,35,41,5647,8683,3906,2043,7424
67,424,35,43,6590,2027,4830,8378,6722
67,424,35,43,868,9847,11449,5844,8537
67,424,35,43,6386,103,7249,4830,737
67,424,35,20,5514,9882,2777,689,3728
67,424,35,30,7068,10557,7880,5961,7425
67,405,35,58,574,9882,8646,5025,5480
67,405,35,58,7880,10433,10365,1623,7808
67,405,35,43,6386,1499,5963,7249,11244
67,405,35,43,2203,2465,868,11449,7934
67,424,35,10,8452,4312,9395,5379,5560
67,424,35,41,689,5654,10433,3230,6722
67,424,35,41,230,5560,2777,4620,9395
67,424,35,1,4034,153,10765,5654,9452
67,424,35,1,9484,1120,3492,4744,10708
67,424,35,17,7976,6643,6338,10433,10527
67,364,35,1,7068,7704,10691,8419,8370
67,364,35,1,3094,1829,868,7848,268
67,424,35,23,10151,7880,7045,7068,7976
67,424,35,41,4652,7880,574,3643,3517
67,424,35,41,9882,1544,7642,8037,689
67,424,35,41,8445,6328,11458,2194,5325
67,323,35,43,6386,7880,3229,253,9122
67,424,35,6,10433,7017,5560,7880,1341
67,424,35,10,7425,8514,11252,10291,7880
67,424,35,10,3133,3639,8517,4838,5063
67,364,35,41,2896,1180,3534,10988,11587
67,364,35,41,7880,1088,868,10625,3366
67,364,35,30,3106,5445,2089,8370,7880
67,364,35,54,3106,1090,9906,8123,8370
67,364,35,54,1175,8327,6643,868,2270
67,405,35,11,3256,5514,4838,10433,4794
67,405,35,40,10433,11511,5000,10591,6795
67,405,35,1,6386,11503,9882,6722,5514
67,405,35,1,8445,7642,9105,1623,689
67,202,35,43,5337,10059,1579,6590,11274
67,202,35,43,7201,4831,5366,868,8336
67,424,35,53,7976,7068,9804,253,7249
67,424,35,53,11725,689,1276,8300,7425
67,424,35,1,6386,465,6898,5560,7249
67,424,35,43,6386,8834,7880,868,7425
67,405,35,10,3106,10365,8310,4312,6597
67,405,35,10,11274,7596,6657,11191,1276
67,364,35,41,3106,2233,3547,8370,4971
67,202,35,52,11191,9254,11452,7690,3894
67,424,35,1,7976,7068,10524,10071,253
67,424,35,1,6000,7880,574,5791,5514
67,424,35,58,5688,7644,5067,6077,6001
67,424,35,58,6864,6548,10267,8544,8810
67,424,35,19,5337,6597,1985,1499,5656
67,424,35,30,6703,2927,11452,1370,253
67,424,35,30,8652,10231,868,9090,7848
67,364,35,60,8310,3668,10433,11589,921
67,193,35,20,6384,1407,4948,7249,8661
67,193,35,20,10486,7787,7934,868,10654
67,424,35,31,7411,9258,8834,7880,4830
67,405,35,58,6261,6386,6643,3795,8753
67,405,35,58,10433,7249,8250,5000,8646
67,424,35,41,5284,5412,7880,10365,1370
67,424,35,41,9651,3534,8023,8790,263
67,405,35,30,3106,8310,9395,1370,2880
67,405,35,30,4908,6552,122,8646,10752
67,364,35,43,8753,4711,5968,2640,6657
67,364,35,43,8646,4001,1829,6210,11589
67,364,35,41,3106,5445,10176,8370,11337
67,364,35,41,7880,11145,868,2089,8327
67,364,35,43,1090,10365,8798,1985,253
67,364,35,43,1521,7880,5827,1596,9847
67,424,35,21,11191,9813,9254,11452,7690
67,364,35,10,6386,7880,3229,253,4838
67,424,35,1,5337,9708,4711,10593,5082
67,193,35,41,2896,2512,5100,1407,6384
67,424,35,25,6192,1321,4830,8326,8517
67,424,35,25,5968,9452,4736,7425,4983
67,424,35,30,8250,6806,253,4249,7880
67,202,35,43,6386,7880,3229,253,4838
67,424,35,15,10365,6386,6534,6590,253
67,424,35,15,4249,584,7880,11589,2279
67,424,35,12,574,9414,230,9404,4383
67,424,35,16,7068,6386,5052,4312,1563
67,202,35,58,3484,2777,9768,7808,10245
67,202,35,58,5379,2362,3492,10118,11660
67,424,35,1,9882,4252,10433,5359,253
67,424,35,1,886,230,7527,7880,9395
67,424,35,57,6384,5654,1180,6386,4594
67,424,35,57,11449,8200,4952,7880,4830
67,424,35,43,2338,465,5560,4666,7915
67,424,35,40,9395,5654,7642,9057,6722
67,424,35,40,4470,8037,9804,4613,9882
67,405,35,41,6386,5560,7880,11591,3639
67,364,35,43,1370,5100,5560,6647,4662
67,364,35,43,6595,852,1829,868,6424
67,405,35,21,10365,5567,2235,6332,11529
67,424,35,22,7603,10593,9258,10449,10708
67,424,35,22,3795,6996,11194,6722,2649
67,405,35,40,6386,9882,4218,1899,5272
67,405,35,40,7249,11449,8445,3766,7598
67,405,35,40,7874,1758,2996,10391,7745
67,405,35,40,3795,10433,1062,1623,7880
67,393,35,41,1180,9882,10433,7880,7642
67,364,35,58,6643,6386,10433,3534,8200
67,364,35,58,9804,8370,5554,9509,868
67,424,35,11,3653,7880,3795,11205,7249
67,424,35,11,11659,5560,2362,3072,10708
67,364,35,41,6386,11274,10708,1963,3229
67,364,35,1,6952,3106,5337,4312,9395
67,364,35,1,8370,689,3107,5406,5530
67,405,35,52,6386,11261,9821,10433,1499
